Grant Status ,Phase Type,Phase Status,Grant ,Long Title,Funder ,Role,Investigator,Location,Faculty,Research Start,Research End,Outline Date,Application Date,Award Date,Leeds fEC (£),Leeds Price (£),Funded Leeds Expenditure (£),Funded Leeds Balance (£)
Abeyance,Live Award,Successful,125391,"Understanding gender differences in young people’s experience of self-harm, in order to influence gender-sensitive change in our mental health services",NIHR National Inst Health Research,PI,"Diggins, Emma, Dr",Psychological & Social Medicine,Faculty of Medicine & Health,01/04/2022,31/03/2026,,01/03/2022,14/03/2022,"666,148.83","487,865.97","314,447.54","173,418.43"
Abeyance,Live Award,Successful,125391,"Understanding gender differences in young people’s experience of self-harm, in order to influence gender-sensitive change in our mental health services",NIHR National Inst Health Research,COI,"Brennan, Catherine, Dr",Psychological & Social Medicine,Faculty of Medicine & Health,01/04/2022,31/03/2026,,01/03/2022,14/03/2022,"23,714.80","17,367.96","11,194.29","6,173.67"
Abeyance,Live Award,Successful,125391,"Understanding gender differences in young people’s experience of self-harm, in order to influence gender-sensitive change in our mental health services",NIHR National Inst Health Research,COI,"Cottrell, David, Prof",Psychological & Social Medicine,Faculty of Medicine & Health,01/04/2022,31/03/2026,,01/03/2022,14/03/2022,"47,340.58","34,670.71","22,346.55","12,324.17"
Abeyance,Live Award,Successful,125391,"Understanding gender differences in young people’s experience of self-harm, in order to influence gender-sensitive change in our mental health services",NIHR National Inst Health Research,COI,"Heuvelman, Hendrik, Dr",Psychological & Social Medicine,Faculty of Medicine & Health,01/04/2022,31/03/2026,,01/03/2022,14/03/2022,"23,714.80","17,367.96","11,194.29","6,173.67"
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen Pharmaceutica NV,PI,"Howard, Helen, Dr",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,"4,616,148.98","4,616,148.98","3,645,959.21","970,189.77"
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen Pharmaceutica NV,COI,"Hillmen, Peter, Prof",Division of Haematology and Immunology,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,"190,227.99","190,227.99","158,199.77","32,028.22"
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen Pharmaceutica NV,COI,"Hulme, Claire, Prof",Division of Health Economics,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,"287,146.16","287,146.16","263,055.39","24,090.77"
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen Pharmaceutica NV,COI,"Meads, David, Prof",Division of Health Economics,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,0.00,0.00,0.00,0.00
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen Pharmaceutica NV,COI,"Wright, Judith, Mrs",Division of Health Economics,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,0.00,0.00,0.00,0.00
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen-Cilag Ltd,PI,"Howard, Helen, Dr",Inst of Clinical Trials Research (LICTR),Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,0.00,0.00,"32,770.92","-32,770.92"
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen-Cilag Ltd,COI,"Hillmen, Peter, Prof",Division of Haematology and Immunology,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,0.00,0.00,,0.00
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen-Cilag Ltd,COI,"Hulme, Claire, Prof",Division of Health Economics,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,0.00,0.00,0.00,0.00
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen-Cilag Ltd,COI,"Meads, David, Prof",Division of Health Economics,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,0.00,0.00,0.00,0.00
Award,Live Award,Successful,103683,FLAIR CLL10,Janssen-Cilag Ltd,COI,"Wright, Judith, Mrs",Division of Health Economics,Faculty of Medicine & Health,01/02/2013,31/07/2026,,30/07/2014,30/07/2014,0.00,0.00,0.00,0.00
Award,Live Award,Successful,103728,Optimal Personalised Treatment of early breast cancer using Multiparameter Analysis,NIHR National Inst Health Research,PI,"Meads, David, Prof",Division of Health Economics,Faculty of Medicine & Health,01/10/2015,31/12/2025,,17/11/2014,18/11/2016,"269,320.00","215,456.74","179,290.09","36,166.65"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,PI,"Stewart, Paul, Prof",Medicine & Health Faculty Office,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"18,434.11","18,434.11",0.00,"18,434.11"
Award,Live Award,Successful,105290,YCR Fellowships,Yorkshire Cancer Research Account Ref: 2UOLEEDS,COI,"Allsop, Matthew, Dr",Primary/Palliative Care & Public Health,Faculty of Medicine & Health,01/04/2016,30/09/2028,,29/01/2015,03/06/2016,"697,386.85","410,686.29","376,854.29","33,832.00"
